

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -81 [da:ee:aa:ff:13:4c]

RSSI: -76 [da:ee:aa:ff:06:4b]

RSSI: -82 [da:ee:aa:ff:13:4c]

RSSI: -60 [da:ee:aa:ff:02:fa]

RSSI: -78 [da:ee:aa:ff:06:6b]

RSSI: -60 [da:ee:aa:ff:02:fa]

RSSI: -83 [da:ee:aa:ff:13:8c]

RSSI: -79 [da:ee:aa:ff:06:6b]

RSSI: -59 [da:ee:aa:ff:02:fa]

RSSI: -79 [da:ee:aa:ff:06:6b]

RSSI: -60 [da:ee:aa:ff:02:fa]

RSSI: -60 [da:ee:aa:ff:02:fa]

RSSI: -59 [da:ee:aa:ff:03:0a]

RSSI: -58 [da:ee:aa:ff:03:0a]

RSSI: -58 [da:ee:aa:ff:03:0a]

RSSI: -82 [da:ee:aa:ff:13:ac]

RSSI: -82 [da:ee:aa:ff:13:ac]

RSSI: -60 [da:ee:aa:ff:06:9b]

RSSI: -82 [da:ee:aa:ff:13:ac]

RSSI: -58 [da:ee:aa:ff:06:bb]

RSSI: -81 [da:ee:aa:ff:13:ec]

RSSI: -76 [da:ee:aa:ff:06:bb]

RSSI: -55 [da:ee:aa:ff:03:3a]

RSSI: -76 [da:ee:aa:ff:06:bb]

RSSI: -55 [da:ee:aa:ff:03:3a]

RSSI: -81 [da:ee:aa:ff:13:ec]

RSSI: -76 [da:ee:aa:ff:06:bb]

RSSI: -55 [da:ee:aa:ff:03:3a]

RSSI: -81 [da:ee:aa:ff:13:ec]

RSSI: -82 [da:ee:aa:ff:14:0c]

RSSI: -82 [da:ee:aa:ff:14:0c]

RSSI: -77 [da:ee:aa:ff:06:eb]

RSSI: -57 [da:ee:aa:ff:03:9a]

RSSI: -76 [da:ee:aa:ff:07:0b]

RSSI: -57 [da:ee:aa:ff:03:9a]

RSSI: -76 [da:ee:aa:ff:07:0b]

RSSI: -57 [da:ee:aa:ff:03:9a]

RSSI: -76 [da:ee:aa:ff:07:0b]

RSSI: -57 [da:ee:aa:ff:03:9a]

RSSI: -80 [da:ee:aa:ff:14:2c]

RSSI: -57 [da:ee:aa:ff:03:9a]

RSSI: -82 [da:ee:aa:ff:14:3c]

RSSI: -77 [da:ee:aa:ff:07:3b]

RSSI: -77 [da:ee:aa:ff:07:3b]

RSSI: -77 [da:ee:aa:ff:07:3b]

RSSI: -83 [da:ee:aa:ff:14:4c]

RSSI: -77 [da:ee:aa:ff:07:3b]

RSSI: -84 [da:ee:aa:ff:14:4c]

RSSI: -77 [da:ee:aa:ff:07:3b]

RSSI: -73 [da:ee:aa:ff:07:5b]

RSSI: -41 [da:ee:aa:ff:03:fa]

RSSI: -78 [da:ee:aa:ff:14:5c]

RSSI: -73 [da:ee:aa:ff:07:5b]

RSSI: -41 [da:ee:aa:ff:03:fa]

RSSI: -78 [da:ee:aa:ff:14:5c]

RSSI: -73 [da:ee:aa:ff:07:5b]

RSSI: -53 [da:ee:aa:ff:03:fa]

RSSI: -78 [da:ee:aa:ff:14:5c]

RSSI: -54 [da:ee:aa:ff:03:fa]

RSSI: -78 [da:ee:aa:ff:14:5c]

RSSI: -74 [da:ee:aa:ff:07:7b]

RSSI: -73 [da:ee:aa:ff:07:8b]

RSSI: -54 [da:ee:aa:ff:04:2a]

RSSI: -63 [da:ee:aa:ff:14:7c]

RSSI: -73 [da:ee:aa:ff:07:8b]

RSSI: -54 [da:ee:aa:ff:04:2a]

RSSI: -62 [da:ee:aa:ff:14:7c]

RSSI: -54 [da:ee:aa:ff:04:2a]

RSSI: -72 [da:ee:aa:ff:07:8b]

RSSI: -54 [da:ee:aa:ff:04:2a]

RSSI: -62 [da:ee:aa:ff:14:7c]

RSSI: -72 [da:ee:aa:ff:07:8b]

RSSI: -74 [da:ee:aa:ff:07:ab]

RSSI: -53 [da:ee:aa:ff:04:3a]

RSSI: -75 [da:ee:aa:ff:07:ab]

RSSI: -79 [da:ee:aa:ff:14:8c]

RSSI: -75 [da:ee:aa:ff:07:ab]

RSSI: -80 [da:ee:aa:ff:14:8c]

RSSI: -53 [da:ee:aa:ff:04:4a]

RSSI: -71 [da:ee:aa:ff:07:cb]

RSSI: -53 [da:ee:aa:ff:04:4a]

RSSI: -54 [da:ee:aa:ff:04:5a]

RSSI: -54 [da:ee:aa:ff:04:5a]

RSSI: -72 [da:ee:aa:ff:07:db]

RSSI: -54 [da:ee:aa:ff:04:5a]

RSSI: -55 [da:ee:aa:ff:07:db]

RSSI: -54 [da:ee:aa:ff:04:5a]

RSSI: -72 [da:ee:aa:ff:07:db]

RSSI: -54 [da:ee:aa:ff:04:5a]

RSSI: -71 [da:ee:aa:ff:07:fb]

RSSI: -53 [da:ee:aa:ff:04:7a]

RSSI: -53 [da:ee:aa:ff:04:7a]

RSSI: -77 [da:ee:aa:ff:14:ec]

RSSI: -71 [da:ee:aa:ff:08:1b]

RSSI: -53 [da:ee:aa:ff:04:7a]

RSSI: -77 [da:ee:aa:ff:14:ec]

RSSI: -53 [da:ee:aa:ff:04:7a]

RSSI: -52 [da:ee:aa:ff:04:9a]

RSSI: -72 [da:ee:aa:ff:08:2b]

RSSI: -52 [da:ee:aa:ff:04:9a]

RSSI: -72 [da:ee:aa:ff:08:2b]

RSSI: -52 [da:ee:aa:ff:04:ba]

RSSI: -72 [da:ee:aa:ff:08:4b]

RSSI: -54 [da:ee:aa:ff:04:ca]

RSSI: -54 [da:ee:aa:ff:04:ca]

RSSI: -72 [da:ee:aa:ff:08:6b]

RSSI: -54 [da:ee:aa:ff:04:ca]

RSSI: -72 [da:ee:aa:ff:08:6b]

RSSI: -54 [da:ee:aa:ff:04:ca]

RSSI: -72 [da:ee:aa:ff:08:6b]

RSSI: -77 [da:ee:aa:ff:15:4c]

RSSI: -72 [da:ee:aa:ff:08:8b]

RSSI: -77 [da:ee:aa:ff:15:4c]

RSSI: -72 [da:ee:aa:ff:08:8b]

RSSI: -39 [da:ee:aa:ff:04:fa]

RSSI: -77 [da:ee:aa:ff:15:4c]

RSSI: -72 [da:ee:aa:ff:08:8b]

RSSI: -43 [da:ee:aa:ff:04:fa]

RSSI: -76 [da:ee:aa:ff:15:4c]

RSSI: -72 [da:ee:aa:ff:08:8b]

RSSI: -52 [da:ee:aa:ff:04:fa]

RSSI: -72 [da:ee:aa:ff:08:8b]

RSSI: -52 [da:ee:aa:ff:05:1a]

RSSI: -74 [da:ee:aa:ff:08:ab]

RSSI: -52 [da:ee:aa:ff:05:1a]

RSSI: -72 [da:ee:aa:ff:15:8c]

RSSI: -52 [da:ee:aa:ff:05:1a]

RSSI: -74 [da:ee:aa:ff:08:cb]

RSSI: -72 [da:ee:aa:ff:15:8c]

RSSI: -52 [da:ee:aa:ff:05:1a]

RSSI: -73 [da:ee:aa:ff:08:cb]

RSSI: -77 [da:ee:aa:ff:15:8c]

RSSI: -73 [da:ee:aa:ff:08:cb]

RSSI: -73 [da:ee:aa:ff:08:db]

RSSI: -54 [da:ee:aa:ff:05:4a]

RSSI: -73 [da:ee:aa:ff:08:db]

RSSI: -54 [da:ee:aa:ff:05:4a]

RSSI: -72 [da:ee:aa:ff:08:db]

RSSI: -78 [da:ee:aa:ff:15:bc]

RSSI: -54 [da:ee:aa:ff:05:4a]

RSSI: -73 [da:ee:aa:ff:08:db]

RSSI: -54 [da:ee:aa:ff:05:4a]

RSSI: -72 [da:ee:aa:ff:08:db]

RSSI: -53 [da:ee:aa:ff:05:5a]

RSSI: -77 [da:ee:aa:ff:15:dc]

RSSI: -77 [da:ee:aa:ff:15:dc]

RSSI: -53 [da:ee:aa:ff:05:7a]

RSSI: -77 [da:ee:aa:ff:15:dc]

RSSI: -53 [da:ee:aa:ff:05:7a]

RSSI: -77 [da:ee:aa:ff:15:dc]

RSSI: -53 [da:ee:aa:ff:05:7a]

RSSI: -76 [da:ee:aa:ff:15:dc]

RSSI: -52 [da:ee:aa:ff:05:8a]

RSSI: -73 [da:ee:aa:ff:09:2b]

RSSI: -52 [da:ee:aa:ff:05:8a]

RSSI: -52 [da:ee:aa:ff:05:8a]

RSSI: -78 [da:ee:aa:ff:16:0c]

RSSI: -54 [da:ee:aa:ff:05:aa]

RSSI: -54 [da:ee:aa:ff:05:aa]

RSSI: -73 [da:ee:aa:ff:09:6b]

RSSI: -54 [da:ee:aa:ff:05:aa]

RSSI: -73 [da:ee:aa:ff:09:6b]

RSSI: -54 [da:ee:aa:ff:05:aa]

RSSI: -73 [da:ee:aa:ff:09:6b]

RSSI: -54 [da:ee:aa:ff:05:aa]

RSSI: -53 [da:ee:aa:ff:05:ba]

RSSI: -71 [da:ee:aa:ff:09:7b]

RSSI: -53 [da:ee:aa:ff:05:ba]

RSSI: -77 [da:ee:aa:ff:16:4c]

RSSI: -71 [da:ee:aa:ff:09:7b]

RSSI: -38 [da:ee:aa:ff:05:da]

RSSI: -77 [da:ee:aa:ff:16:4c]

RSSI: -71 [da:ee:aa:ff:09:7b]

RSSI: -76 [da:ee:aa:ff:16:4c]

RSSI: -78 [da:ee:aa:ff:16:6c]

RSSI: -73 [da:ee:aa:ff:09:bb]

RSSI: -52 [da:ee:aa:ff:05:fa]

RSSI: -73 [da:ee:aa:ff:09:bb]

RSSI: -52 [da:ee:aa:ff:05:fa]

RSSI: -73 [da:ee:aa:ff:09:bb]

RSSI: -54 [da:ee:aa:ff:06:3a]

RSSI: -73 [da:ee:aa:ff:09:cb]

RSSI: -54 [da:ee:aa:ff:06:3a]

RSSI: -73 [da:ee:aa:ff:09:cb]

RSSI: -54 [da:ee:aa:ff:06:3a]

RSSI: -73 [da:ee:aa:ff:09:cb]

RSSI: -77 [da:ee:aa:ff:00:0c]

RSSI: -54 [da:ee:aa:ff:06:3a]

RSSI: -77 [da:ee:aa:ff:00:0c]

RSSI: -54 [da:ee:aa:ff:06:3a]

RSSI: -74 [da:ee:aa:ff:09:eb]

RSSI: -53 [da:ee:aa:ff:06:4a]

RSSI: -72 [da:ee:aa:ff:0a:0b]

RSSI: -53 [da:ee:aa:ff:06:4a]

RSSI: -72 [da:ee:aa:ff:0a:0b]

RSSI: -72 [da:ee:aa:ff:0a:0b]

RSSI: -76 [da:ee:aa:ff:00:3c]

RSSI: -72 [da:ee:aa:ff:0a:0b]

RSSI: -76 [da:ee:aa:ff:00:3c]

