
Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -76 [da:00:12:8c:0d:5c]
RSSI: -86 [da:00:12:8c:0d:5c]
RSSI: -79 [da:00:12:98:0d:8c]
RSSI: -84 [da:00:12:a8:0d:ac]
RSSI: -83 [da:00:12:a8:0d:ac]
RSSI: -83 [da:00:12:b8:0d:dc]
RSSI: -79 [da:00:12:b8:0d:dc]
RSSI: -82 [da:00:12:c4:0e:0c]
RSSI: -79 [da:00:12:d4:0e:3c]
RSSI: -83 [da:00:12:d4:0e:3c]
RSSI: -80 [da:00:12:e4:0e:5c]
RSSI: -84 [da:00:12:f1:0e:8c]
RSSI: -77 [da:00:12:f1:0e:8c]
RSSI: -83 [da:00:13:00:0e:bc]
RSSI: -76 [da:00:13:00:0e:bc]
RSSI: -82 [da:00:13:10:0e:ec]
RSSI: -76 [da:00:13:1d:0f:0c]
RSSI: -81 [da:00:13:1d:0f:0c]
RSSI: -77 [da:00:13:2d:0f:3c]
RSSI: -82 [da:00:13:3d:0f:6c]
RSSI: -83 [da:00:13:3d:0f:6c]
RSSI: -83 [da:00:13:49:0f:9c]
RSSI: -83 [da:00:13:49:0f:9c]
RSSI: -84 [da:00:13:59:0f:cc]
RSSI: -80 [da:00:13:69:0f:ec]
RSSI: -84 [da:00:13:75:10:1c]
RSSI: -82 [da:00:13:75:10:1c]
RSSI: -87 [da:00:13:85:10:4c]
RSSI: -86 [da:00:13:95:10:7c]
RSSI: -84 [da:00:13:a2:10:9c]
RSSI: -83 [da:00:13:a2:10:9c]
RSSI: -89 [da:00:13:b2:10:cc]
RSSI: -84 [da:00:13:b2:10:cc]
RSSI: -89 [da:00:13:c1:10:fc]
RSSI: -83 [da:00:13:ce:11:1c]
RSSI: -88 [da:00:13:ce:11:1c]
RSSI: -85 [da:00:13:de:11:4c]
RSSI: -80 [da:00:13:de:11:4c]
RSSI: -86 [da:00:13:ee:11:7c]
RSSI: -85 [da:00:13:fa:11:9c]
RSSI: -83 [da:00:13:fa:11:9c]
RSSI: -84 [da:00:14:0a:11:cc]
RSSI: -84 [da:00:14:0a:11:cc]
RSSI: -81 [da:00:14:1a:11:fc]
RSSI: -78 [da:00:14:1a:11:fc]
RSSI: -81 [da:00:14:27:12:2c]
RSSI: -82 [da:00:14:36:12:5c]
RSSI: -80 [da:00:14:36:12:5c]
RSSI: -77 [da:00:14:46:12:8c]
RSSI: -83 [da:00:14:46:12:8c]
RSSI: -77 [da:00:14:53:12:ac]
RSSI: -78 [da:00:14:63:12:dc]
RSSI: -75 [da:00:14:63:12:dc]
RSSI: -77 [da:00:14:73:13:0c]
RSSI: -77 [da:00:14:73:13:0c]
